,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,57,25,.695,—,117.9,111.4,6.38,2017,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2017,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2017,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2017,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2017,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2017,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2017,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2017,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2017,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2017,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2017,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2017,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2017,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2017,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2017,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2017,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2017,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2017,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2017,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2017,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2017,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2017,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2017,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2017,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2017,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2017,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2017,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2017,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2017,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2017,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2017,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2017,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2017,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2017,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2017,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2018,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2018,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2018,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2018,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2018,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2018,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2018,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2018,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2018,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2018,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2018,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2018,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2018,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2018,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2018,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2018,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2018,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2018,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2018,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2018,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2018,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2018,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2018,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2018,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2018,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2018,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2018,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2018,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2018,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2018,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2018,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2018,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2018,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2018,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2018,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2019,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2019,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2019,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2019,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2019,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2019,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2019,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2019,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2019,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2019,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2019,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2019,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2019,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2019,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2019,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2019,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2019,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2019,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2019,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2019,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2019,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2019,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2019,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2019,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2019,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2019,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2019,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2019,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2019,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2019,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2019,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2019,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2019,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2019,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2019,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2020,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2020,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2020,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2020,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2020,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2020,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2020,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2020,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2020,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2020,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2020,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2020,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2020,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2020,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2020,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2020,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2020,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2020,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2020,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2020,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2020,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2020,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2020,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2020,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2020,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2020,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2020,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2020,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2020,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2020,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2020,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2020,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2020,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2020,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2020,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2021,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2021,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2021,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2021,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2021,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2021,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2021,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2021,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2021,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2021,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2021,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2021,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2021,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2021,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2021,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2021,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2021,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2021,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2021,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2021,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2021,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2021,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2021,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2021,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2021,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2021,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2021,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2021,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2021,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2021,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2021,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2021,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2021,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2021,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2021,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2022,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2022,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2022,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2022,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2022,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2022,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2022,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2022,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2022,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2022,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2022,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2022,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2022,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2022,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2022,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2022,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2022,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2022,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2022,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2022,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2022,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2022,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2022,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2022,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2022,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2022,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2022,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2022,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2022,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2022,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2022,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2022,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2022,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2022,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2022,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,2023,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,2023,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,2023,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,2023,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,2023,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2023,Central Division
6,58,24,.707,—,116.9,113.3,3.61,2023,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,2023,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,2023,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,2023,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,2023,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2023,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,2023,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,2023,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,2023,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,2023,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,2023,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2023,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,2023,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,2023,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,2023,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,2023,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,2023,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2023,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,2023,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,2023,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,2023,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,2023,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,2023,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2023,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,2023,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,2023,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,2023,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,2023,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,2023,San Antonio Spurs
